title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
Ultralight Backpackin' Tips,153 amazing & inexpensive tips for extremely lightweight camping,Mike Clelland,,FalconGuides,0,Wilderness Guide,"Camping, Nature, Backpacking, Ultralight",133,2011,,2,0,0,0,From Ted's PCT collection
Understanding Jim Crow,using Racist Memorabilita to Teach Tolerance and Promote Social Justice,David Pilgrim,Henry Louis Gates Jr.,PM/Between the Lines,0,History,"Jim Crow, Race, Racism, Social justice, American history",187,2015,,0,0,0,0,
Unwind,,Neal Shusterman,,Simon & Schuster,1,Science Fiction,"Reproduction, Survival skills, revolution",334,2007,2009,0,0,0,0,
V for Vendetta,,Alan moore,"David Lloyd, Steve Whitaker, Siobhan Dodds",Vertigo,1,Graphic Novel/Comic,Orwellian,288,1988,2005,2,2,1,0,
We Learn Nothing,Essays,Tim Kreider,,Simon & Schuster,0,Essays,"Essays, Humor, Stabbing, Memoir, Cartoons",232,2012,2013,1,0,0,0,
We're Pregnant!,The First-Time Dad's Pregnancy Handbook,Adrian Kilp,Heather B. Armstrong,Rockridge,0,Parenting,"Parenthood, Fatherhood, Pregnancy",280,2018,,0,0,0,0,
What Does It All Mean?,A very short introduction to philosophy,Thomas Nagel,,Oxford,0,Philosophy,Textbook,101,1987,,2,0,0,0,
What is Analytic Philosophy?,,Hans-Johann Glock,,Cambridge,0,Philosophy,"History of philosophy, Analytic philosophy",292,2008,,2,0,0,0,
What is Mathematics,An Elementary Approach to Ideas and Methods,Richard Courant,"Herbert Robbins, Ian Stewart",Oxford,0,Mathematics,Mathematics,566,1941,1996,0,0,0,0,
What the Best College Teachers do,,Ken Bain,,Harvard,0,Education,"Teaching, Education, Pedagogy",207,2007,2004,1,0,0,1,Missing book jacket
When Breath Becomes Air,,Paul Kalanithi,,Random house,0,Biography/Memoir,"Cancer, Medicine, Death & Dying, Neurosurgery",228,2016,,0,0,0,1,
Where Cooking Begins,Uncomplicated Recipes to make You a Great Cook,Carla Lalli Music,,Potter,0,Cook Book,Recipes,271,2019,,1,0,0,1,
Who's in Charge?,Free Will and the Science of the Brain,Michael S. Gazzaniga,,Ecco,0,Philosophy/Science,"Free will, Determinism, Neurobiology, The brain",260,2011,2012,0,0,0,0,
Why Religion,A Personal Story,Elaine Pagels,,Ecco,0,Biography/Memoir,"Religion, Christianity, Personal tragedy",235,2018,,0,0,0,1,
Witchcraft,,Jessica Hundley,"Pam Grossman, Thunderwing",Taschen,0,Art/Mythology,"Witches, Mythology, History of witches, Witchcraft, Wicca, Occult, Art, Folklore, Magick",519,2021,,1,0,0,1,
Wittgenstein on Rules and Private Language,,Saul A. Kripke,,Harvard,0,Philosophy,"Wittgenstein, Kripkenstein, Private language, Quus, Quaddition",150,1982,2002,2,0,0,0,
Wittgenstein's Vienna,,Allan Janik,Stephen Toulmin,Simon & Schuster,0,History,"Ludwig Wittgenstein, Vienna, Austrian culture, Fin-de-siecle, Philosophy, ",314,1973,,2,0,0,1,
Women,,Charles Bukowski,,Ecco,1,Literature,,291,1978,2014,0,0,0,0,
World War Z,An Oral History of the Zombie War,Max Brooks,,Broadway,1,Horror,"Zombies, Turkelesque, Survival",342,2006,2007,1,0,0,0,
Write to the Point,A Master Class on the Fundamentals of Writing for Any Purpose,Sam Leith,,The Experiment,0,Reference/Grammar,"Writing, Style, Grammar, Rhetoric, Punctuation, Composition",263,2017,2018,2,0,1,0,
Zhuangzi Speaks,The Music of Nature,Tsai Chih Chung,"Brian Bruya, Donald J. Munro",Princeton,0,Philosophy,"Doaism, Zhuagnzi, Chinese philosophy, Eastern philosophy, Cartoons",142,1992,,1,0,0,0,Gift from Ben
The Dream-Quest of Unknown Kadath & Other Stories,,H. P. Lovecraft,Jason Bradley Smith,Mock man,1,Graphic Novel/Comic,"Lovecraft, Nyarlathotep, Kadath, Eldritch",179,2011,,2,0,1,1,"Signed by the author, Beautiful map on the inside covers"
This Is What It Sounds Like,A Legendary Producer Turned Neuroscientist on Finding Yourself Through Music,Susan Rogers,Ogi Ogas,Norton,0,Music,"Music, Neuroscience, Musical identity, Aesthetics",274,2022,2023,0,0,0,0,
